entry_date,exit_date,ticker,theme,entry_price,exit_price,holding_period_days,return_pct,exit_reason,entry_source
2023-01-27,2023-03-10,PCG,PATH_S_SKEW_FLIP,15.8938,16.1058,42,0.01334,REGIME_OFF_SPY,initial
2023-03-29,2023-06-28,SFM,PATH_S_SKEW_FLIP,34.6419,35.4667,91,0.02381,MAX_HOLD_90D,path_s
2023-06-28,2023-09-27,STAG,PATH_S_SKEW_FLIP,35.383,34.0988,91,-0.03629,MAX_HOLD_90D,path_s
2023-09-27,2023-10-23,AIG,PATH_S_SKEW_FLIP,61.5221,59.3009,26,-0.0361,REGIME_OFF_SPY,path_s
2023-11-10,2024-02-09,PATH,PATH_S_SKEW_FLIP,16.5848,25.1822,91,0.51838,MAX_HOLD_90D,path_s
2024-02-09,2024-04-19,PLTR,PATH_S_SKEW_FLIP,25.0776,20.9485,70,-0.16465,TRAILING_STOP_20PCT,path_s
2024-04-19,2024-07-19,FTAI,PATH_S_SKEW_FLIP,67.4811,103.4546,91,0.53309,MAX_HOLD_90D,path_s
2024-07-19,2024-10-18,CINF,PATH_S_SKEW_FLIP,126.5095,140.7486,91,0.11255,MAX_HOLD_90D,path_s
2024-10-22,2024-12-16,TOL,PATH_S_SKEW_FLIP,150.4253,134.2084,55,-0.10781,TRAILING_STOP_20PCT,path_s
2024-12-16,2025-03-11,KR,PATH_S_SKEW_FLIP,62.1331,67.6983,85,0.08957,REGIME_OFF_SPY,path_s
2025-06-03,2025-08-14,HQY,PATH_S_SKEW_FLIP,103.4349,89.0862,72,-0.13872,TRAILING_STOP_20PCT,path_s
2025-08-15,2025-11-14,INTC,PATH_S_SKEW_FLIP,25.0475,34.9725,91,0.39624,MAX_HOLD_90D,path_s
2025-11-14,2026-02-02,HL,PATH_S_SKEW_FLIP,13.9309,22.2865,80,0.59979,TRAILING_STOP_20PCT,path_s
2026-02-02,2026-03-09,LITE,PATH_S_SKEW_FLIP,406.0982,577.133,35,0.42117,TRAILING_STOP_20PCT,path_s
2026-03-09,2026-03-16,AAOI,PATH_S_SKEW_FLIP,95.3178,99.85,7,0.04755,TRAILING_STOP_20PCT,path_s
2026-03-19,2026-03-20,TRGP,PATH_S_SKEW_FLIP,236.4742,239.3305,1,0.01208,REGIME_OFF_SPY,path_s
2026-04-13,2026-04-29,DOCN,PATH_S_SKEW_FLIP,76.6097,96.7247,16,0.26256,END_OF_WINDOW,path_s
