date,side,width,regime,structure,call_scenario,ss,ls,sm,lm,entry,pnl,spot,settle,exp
2023-06-01,call,5,BULL,BPC,always_bull,4225.0,4220.0,23.95,21.85,1.9,189.03,4221.02,4293.93,2023-06-08
2023-06-01,call,5,BULL,BPC,regime_follow,4225.0,4220.0,23.95,21.85,1.9,189.03,4221.02,4293.93,2023-06-08
2023-06-01,call,10,BULL,BPC,always_bull,4225.0,4215.0,23.95,19.95,3.8,379.03,4221.02,4293.93,2023-06-08
2023-06-01,call,10,BULL,BPC,regime_follow,4225.0,4215.0,23.95,19.95,3.8,379.03,4221.02,4293.93,2023-06-08
2023-06-01,put,5,BULL,BPC,,4180.0,4175.0,12.65,11.65,0.8,79.03,4221.02,4298.86,2023-06-09
2023-06-01,put,10,BULL,BPC,,4180.0,4170.0,12.65,10.75,1.7,169.03,4221.02,4298.86,2023-06-09
2023-06-02,put,5,BULL,BPC,,4240.0,4235.0,11.6,10.55,0.85,84.03,4282.37,4338.93,2023-06-12
2023-06-02,put,10,BULL,BPC,,4240.0,4230.0,11.6,9.6,1.8,179.03,4282.37,4338.93,2023-06-12
2023-06-05,call,5,BULL,BPC,always_bull,4280.0,4275.0,25.2,22.85,2.15,214.03,4273.79,4338.93,2023-06-12
2023-06-05,call,5,BULL,BPC,regime_follow,4280.0,4275.0,25.2,22.85,2.15,214.03,4273.79,4338.93,2023-06-12
2023-06-05,call,10,BULL,BPC,always_bull,4280.0,4270.0,25.2,20.65,4.35,434.03,4273.79,4338.93,2023-06-12
2023-06-05,call,10,BULL,BPC,regime_follow,4280.0,4270.0,25.2,20.65,4.35,434.03,4273.79,4338.93,2023-06-12
2023-06-05,put,5,BULL,BPC,,4235.0,4230.0,12.55,11.35,1.0,99.03,4273.79,4369.01,2023-06-13
2023-06-05,put,10,BULL,BPC,,4235.0,4225.0,12.55,10.35,2.0,199.03,4273.79,4369.01,2023-06-13
2023-06-06,call,5,BEAR,BPC,always_bull,4290.0,4285.0,24.3,22.0,2.1,209.03,4283.85,4369.01,2023-06-13
2023-06-06,call,5,BEAR,BPD,regime_follow,4285.0,4290.0,22.0,24.3,2.5,-250.97,4283.85,4369.01,2023-06-13
2023-06-06,call,10,BEAR,BPC,always_bull,4290.0,4280.0,24.3,19.9,4.2,419.03,4283.85,4369.01,2023-06-13
2023-06-06,call,10,BEAR,BPD,regime_follow,4280.0,4290.0,19.9,24.3,4.6,-460.97,4283.85,4369.01,2023-06-13
2023-06-06,put,5,BEAR,BPD,,4235.0,4240.0,12.2,13.2,1.2,-120.97,4283.85,4372.59,2023-06-14
2023-06-06,put,10,BEAR,BPD,,4230.0,4240.0,11.2,13.2,2.2,-220.97,4283.85,4372.59,2023-06-14
2023-06-07,call,5,BEAR,BPC,always_bull,4270.0,4265.0,26.9,24.7,2.0,199.03,4267.52,4372.59,2023-06-14
2023-06-07,call,5,BEAR,BPD,regime_follow,4265.0,4270.0,24.7,26.9,2.4,-240.97,4267.52,4372.59,2023-06-14
2023-06-07,call,10,BEAR,BPC,always_bull,4270.0,4260.0,26.9,22.65,4.05,404.03,4267.52,4372.59,2023-06-14
2023-06-07,call,10,BEAR,BPD,regime_follow,4260.0,4270.0,22.65,26.9,4.45,-445.97,4267.52,4372.59,2023-06-14
2023-06-07,put,5,BEAR,BPD,,4220.0,4225.0,12.6,13.65,1.25,-125.97,4267.52,4425.84,2023-06-15
2023-06-07,put,10,BEAR,BPD,,4215.0,4225.0,11.6,13.65,2.25,-225.97,4267.52,4425.84,2023-06-15
2023-06-08,call,5,BULL,BPC,always_bull,4300.0,4295.0,28.55,26.2,2.15,214.03,4293.93,4425.84,2023-06-15
2023-06-08,call,5,BULL,BPC,regime_follow,4300.0,4295.0,28.55,26.2,2.15,214.03,4293.93,4425.84,2023-06-15
2023-06-08,call,10,BULL,BPC,always_bull,4300.0,4290.0,28.55,24.1,4.25,424.03,4293.93,4425.84,2023-06-15
2023-06-08,call,10,BULL,BPC,regime_follow,4300.0,4290.0,28.55,24.1,4.25,424.03,4293.93,4425.84,2023-06-15
2023-06-08,put,5,BULL,BPC,,4250.0,4245.0,13.3,12.2,0.9,89.03,4293.93,4409.59,2023-06-16
2023-06-08,put,10,BULL,BPC,,4250.0,4240.0,13.3,11.3,1.8,179.03,4293.93,4409.59,2023-06-16
2023-06-09,call,5,BULL,BPC,always_bull,4305.0,4300.0,28.4,26.15,2.05,204.03,4298.86,4409.59,2023-06-16
2023-06-09,call,5,BULL,BPC,regime_follow,4305.0,4300.0,28.4,26.15,2.05,204.03,4298.86,4409.59,2023-06-16
2023-06-09,call,10,BULL,BPC,always_bull,4305.0,4295.0,28.4,24.05,4.15,414.03,4298.86,4409.59,2023-06-16
2023-06-09,call,10,BULL,BPC,regime_follow,4305.0,4295.0,28.4,24.05,4.15,414.03,4298.86,4409.59,2023-06-16
2023-06-12,put,5,BEAR,BPD,,4285.0,4290.0,12.5,13.6,1.3,-130.97,4338.93,4388.71,2023-06-20
2023-06-12,put,10,BEAR,BPD,,4280.0,4290.0,11.5,13.6,2.3,-230.97,4338.93,4388.71,2023-06-20
2023-06-13,call,5,BEAR,BPC,always_bull,4375.0,4370.0,29.0,26.6,2.2,219.03,4369.01,4388.71,2023-06-20
2023-06-13,call,5,BEAR,BPD,regime_follow,4370.0,4375.0,26.6,29.0,2.6,-260.97,4369.01,4388.71,2023-06-20
2023-06-13,call,10,BEAR,BPC,always_bull,4375.0,4365.0,29.0,24.45,4.35,434.03,4369.01,4388.71,2023-06-20
2023-06-13,call,10,BEAR,BPD,regime_follow,4365.0,4375.0,24.45,29.0,4.75,-475.97,4369.01,4388.71,2023-06-20
2023-06-13,put,5,BEAR,BPD,,4320.0,4325.0,12.0,13.15,1.35,-135.97,4369.01,4365.69,2023-06-21
2023-06-13,put,10,BEAR,BPD,,4315.0,4325.0,11.0,13.15,2.35,-235.97,4369.01,4365.69,2023-06-21
2023-06-14,call,5,BEAR,BPC,always_bull,4375.0,4370.0,22.1,19.9,2.0,-300.97,4372.59,4365.69,2023-06-21
2023-06-14,call,5,BEAR,BPD,regime_follow,4370.0,4375.0,19.9,22.1,2.4,259.03,4372.59,4365.69,2023-06-21
2023-06-14,call,10,BEAR,BPC,always_bull,4375.0,4365.0,22.1,17.85,4.05,-526.98,4372.59,4365.69,2023-06-21
2023-06-14,call,10,BEAR,BPD,regime_follow,4365.0,4375.0,17.85,22.1,4.45,485.04,4372.59,4365.69,2023-06-21
2023-06-14,put,5,BEAR,BPD,,4325.0,4330.0,9.0,10.0,1.2,-120.97,4372.59,4381.89,2023-06-22
2023-06-14,put,10,BEAR,BPD,,4320.0,4330.0,8.2,10.0,2.0,-200.97,4372.59,4381.89,2023-06-22
2023-06-15,call,5,BULL,BPC,always_bull,4430.0,4425.0,30.55,28.1,2.25,-275.97,4425.84,4381.89,2023-06-22
2023-06-15,call,5,BULL,BPC,regime_follow,4430.0,4425.0,30.55,28.1,2.25,-275.97,4425.84,4381.89,2023-06-22
2023-06-15,call,10,BULL,BPC,always_bull,4430.0,4420.0,30.55,25.75,4.6,-540.97,4425.84,4381.89,2023-06-22
2023-06-15,call,10,BULL,BPC,regime_follow,4430.0,4420.0,30.55,25.75,4.6,-540.97,4425.84,4381.89,2023-06-22
2023-06-15,put,5,BULL,BPC,,4380.0,4375.0,14.7,13.45,1.05,-395.97,4425.84,4348.33,2023-06-23
2023-06-15,put,10,BULL,BPC,,4380.0,4370.0,14.7,12.35,2.15,-785.97,4425.84,4348.33,2023-06-23
2023-06-16,put,5,BEAR,BPD,,4365.0,4370.0,9.5,10.5,1.2,379.03,4409.59,4328.82,2023-06-26
2023-06-16,put,10,BEAR,BPD,,4360.0,4370.0,8.6,10.5,2.1,789.03,4409.59,4328.82,2023-06-26
2023-06-19,call,5,BULL,BPC,always_bull,4410.0,4405.0,28.7,26.25,2.25,-275.97,4405.0,4328.82,2023-06-26
2023-06-19,call,5,BULL,BPC,regime_follow,4410.0,4405.0,28.7,26.25,2.25,-275.97,4405.0,4328.82,2023-06-26
2023-06-19,call,10,BULL,BPC,always_bull,4410.0,4400.0,28.7,23.95,4.55,-545.97,4405.0,4328.82,2023-06-26
2023-06-19,call,10,BULL,BPC,regime_follow,4410.0,4400.0,28.7,23.95,4.55,-545.97,4405.0,4328.82,2023-06-26
2023-06-19,put,5,BULL,BPC,,4360.0,4355.0,13.0,11.9,0.9,89.03,4405.0,4378.41,2023-06-27
